Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto19.0h_RealTime-Glo_4-17-2019_11-14-21 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5232.36,5144.91,5046.17,5316.76,4812,4381.54,4680.93,4509.88,4642.76,4400.11,4627.8,4437.2
,B,5070.01,5009.5,4663.53,4753.67,4718.77,4818.29,4681.41,4474.55,4613.68,4687.47,4435.47,4384.8
,C,4647.97,4471.77,4355.37,4814.37,4350.6,4367.96,4452.62,4131.82,4282.01,4320.32,4093.88,4091.42
,D,4412.47,4347.12,4269.11,4184.96,4078.32,4319.91,4119.2,4212.91,4019.96,4042.1,4142.27,3992.56
,E,4865.8,4329.9,4579.89,4522.62,4543.85,4314.28,4356.53,4218.45,4537.86,4332.13,4258.34,4157.91
,F,4228.14,4046.6,3979.2,4003.18,4122.45,4432.43,4027.46,4075.25,4297.49,3995.63,4049.64,4149.17
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1184950,1345580,1293130,1229310,999503,829476,769126,583924,696601,494906,610865,553407
,B,2393030,2597440,2237350,2009580,2050160,1872830,1820890,1444720,1511600,1474220,1329740,1315440
,C,427595,359782,342317,371528,333789,320793,222198,209379,248270,152236,149954,140750
,D,986719,1107680,946806,825163,752697,892758,573652,576890,496636,469186,427252,407110
,E,584889,588642,558902,497373,557944,546322,340979,313416,363299,265132,267772,231584
,F,211724,193575,183635,154822,154451,158642,92556.9,80604,103101,66115.2,82001.5,67732.2
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
