Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto2.5h_RealTime-Glo_4-16-2019_6-43-04 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4547.79,4423.78,4484.24,4738.23,4249.2,3882.79,4137.86,3945.2,4120.76,3914.08,4128.75,3970
,B,4457.89,4529.39,4152.14,4311.18,4283.3,4323.86,4132.99,3947.92,4005.5,4132.45,3987.44,3945.43
,C,4075.81,3990.84,3978.31,4394.18,3987.6,3982.72,4018.4,3726.39,3882.8,3916.37,3700.6,3681.22
,D,3822.16,4002.82,3882.79,3813.74,3741.05,3954.87,3887.89,3858.72,3632.68,3613.94,3713.91,3613.03
,E,4260.58,3928.84,4187.62,4130.71,4141.24,3953.09,3955.02,3844.22,3947.79,3922.21,3867.27,3815.21
,F,3856.15,3758.22,3719.3,3779.38,3897.16,3935.32,3756.3,3848.09,4011.6,3752.06,3733.27,3893.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1386140,1684260,1508990,1551210,1127250,812096,840541,560286,735070,426768,596691,478835
,B,4535010,5254110,4169540,3706290,3658350,3370710,3035130,2321970,2397270,2319570,1989080,1781780
,C,432341,417017,383725,444763,350186,372152,242775,204626,273151,156453,129597,134576
,D,1023440,1255220,1086610,864539,794222,1050360,599374,564057,473239,373828,342367,319813
,E,659798,720174,653769,526063,667845,571587,382325,311091,317616,269136,263967,224751
,F,165079,119344,124708,113990,120380,111456,69459.2,58192.2,73243.6,51013.4,49792.1,54533.3
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
