Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto42.5h_RealTime-Glo_4-18-2019_10-39-23 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5689.12,5589.01,5166.95,7189.22,4903.27,4325.82,4649.16,4473.91,4597.97,4338.7,4559.03,4332.29
,B,5649.05,5187.61,4755.26,4865.87,4743.32,4827.1,4661.9,4444.92,4625.29,4623.53,4364,4359.79
,C,5144.7,4652.31,4408.72,4730.57,4324.09,4345.19,4370.41,4169.54,4262.93,4376.95,4146,4099.65
,D,4719.18,4500.36,4339.78,4161.4,4036.78,4279.34,4145.12,4262.86,4057.98,4089.3,4173.21,4066.73
,E,5274.16,4484.74,4569.96,4481.84,4500.32,4298.18,4359.22,4219.39,4570.05,4354.92,4356.48,4230.77
,F,4652.13,4150.82,3999.66,3941.79,4040.37,4328.76,4012.47,4039.27,4336.75,3994.67,4089.32,4160.9
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1353990,1371650,1179270,1065320,908700,817315,704587,541439,641962,465103,534853,492812
,B,1634420,1459170,1416920,1310520,1308520,1173930,1070160,954147,1019250,898445,840456,844451
,C,510467,389729,386893,399258,369034,342482,236676,235788,252886,159855,164920,154806
,D,1082310,1084100,964130,846606,767734,897579,630256,655580,587104,547012,521861,512727
,E,568834,598004,527630,469229,546784,505780,315801,294068,316475,242488,229726,218788
,F,324223,260260,259073,207525,203448,210940,127759,115371,144108,79932.5,92234.8,86413.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
