Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto46.0_RealTime-Glo_4-18-2019_2-11-11 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5848.76,5856.1,5323.68,5880.21,4959.08,4366.25,4720.87,4616.18,4781.81,4538.69,5168.05,4732.24
,B,5779.74,5347.74,4876.61,4965.42,4812.45,4896.5,4736.17,4532.83,4776.74,4736.66,4549.1,4574.87
,C,5412.28,4800.53,4567.74,4902.89,4431.97,4440.07,4431.96,4237.1,4359.33,4488.27,4281.52,4241.45
,D,4922.96,4676.18,4509.56,4302.52,4171.94,4409.15,4269.23,4354.57,4142.84,4212.03,4298.72,4209.28
,E,5481.41,4741.04,4782.17,4639.2,4645.7,4423.24,4438.34,4300.67,4656.62,4451.42,4477.28,4304.83
,F,4832.88,4310.31,4171.65,4078.54,4172.72,4460.66,4137.55,4139.59,4438.8,4066.62,4179.24,4231.83
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1007280,1202420,1099180,1028140,914540,813663,731314,550855,660641,490486,555796,518419
,B,1325260,1287120,1218930,1188830,1228450,1060640,877317,841748,916880,765370,890236,767077
,C,440140,391547,395676,395090,377144,350354,239133,226185,260889,165183,167514,159593
,D,929905,1029610,958199,837092,749048,875716,648848,691459,609517,612346,567729,568066
,E,524733,529623,548801,471644,553511,484632,319565,301357,316589,250663,230703,239745
,F,262553,233784,248601,218049,211468,223616,132718,116576,153010,87885.2,99975.2,89635.9
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
