Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto47.5h_RealTime-Glo_4-18-2019_3-40-15 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6192.15,6011.48,5377.16,5760.07,4967.93,4382.06,4744.26,4627.97,4825.92,4640.27,5387.03,5015.62
,B,5772.33,5374.57,4906.5,4984.09,4813.65,4920.04,4731.3,4525.09,4757.36,4755.13,4549.68,4604.66
,C,5414.08,4798.18,4585.69,4913.39,4446.69,4415.6,4434.45,4226.04,4380.86,4508.32,4289.53,4230.05
,D,4936.43,4692.89,4510.28,4315.64,4177.53,4409.57,4264.01,4342.68,4146.23,4205.37,4291.02,4206.53
,E,5505.1,4802.88,4799.22,4652.82,4655.23,4387.78,4456.3,4304.77,4648.82,4455.01,4456.34,4289.51
,F,4844.51,4327.55,4177.73,4085.71,4178.18,4448.44,4133.33,4139.34,4428.2,4056.09,4175.68,4209.49
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1020460,1211000,1111800,1038860,918017,806987,705308,550126,654650,470552,537078,506657
,B,1289740,1383070,1188190,1155870,1190160,1032270,926089,823110,906262,774336,755751,796471
,C,451531,400415,408473,399859,375720,354771,255969,227228,278306,166010,170981,162398
,D,847430,1025560,943203,835966,773479,878258,658629,690050,615044,609313,577103,597925
,E,519121,529621,527798,466254,543195,485260,317374,296114,323397,251854,252826,224474
,F,258328,238064,252190,221382,217117,227470,132135,119701,154525,91606,97685.3,91559.6
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
