Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_5-30-30 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6199,7710.87,5933.71,4955.21,5402.5,5659.21,5309.86,4987.77,4695.52,5082.32,5064.08,4520.31
,B,4629.42,4898.99,4638.24,4472.77,4523.3,4729.26,4348.49,4487.16,4367.43,4287.67,4255.9,4187.24
,C,4516.65,5438,4537.11,4349.38,4459.16,4735.38,4473.94,4484.87,4262.03,4398.68,4250.76,4153.6
,D,4523.07,5271.75,4479.13,4239.57,4395.31,4589.76,4134.75,4253.51,4239.99,4181.64,4082.86,4047.78
,E,5335.02,5108.93,4464.45,4454.22,4321.7,4663.26,4173.1,3916.85,4017.59,4286.13,4066.44,3929.54
,F,5388.79,5293.74,4330.93,4234.97,4335.56,4329.86,4241.67,4329.83,4355.9,4161.34,4116.19,4204.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3539470,3851690,2767930,2376640,2952800,3343620,2850380,2409810,2338050,2144850,2189100,1937410
,B,2933620,3467680,3138890,3149760,2882270,3799490,3332800,3432640,2843930,2848610,2853240,2355310
,C,339864,540430,407615,445794,484637,558970,480891,483840,441110,396917,409153,401575
,D,1456960,2260750,1313930,1159120,1376250,1585850,1179820,1321150,1285680,1199910,1081360,846916
,E,362034,567768,433927,493405,536698,638691,493666,407817,445312,462342,443891,451766
,F,360873,384773,383486,412903,415866,388524,361321,370064,291287,282679,263143,256976
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
