Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_5-45-35 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7814.46,9572.89,7455.49,6122.99,6797.21,6240.83,5915.13,5358.61,5131.49,5468.08,6307.9,5763
,B,5837.63,5964.43,5537.58,4796.49,4867.21,5120.77,4664.55,4753.5,4740.54,4670.34,4675.14,4618.06
,C,5673.75,6356.71,5328.58,4721.73,4827.45,5100.91,4800.78,4807.94,4543.04,4676.22,4653.18,4647.59
,D,5645.49,6287.76,5341.7,4617.31,4692.99,4919.22,4432.91,4493.97,4620.89,4441.27,4487.41,4360.65
,E,5950.32,6182.12,5133.39,4835.87,4764.66,4994.6,4459.32,4181.45,4271.11,4604.39,4455.9,4266.89
,F,5827.47,5714.77,4909.19,4472.57,4513.18,4462.07,4357.21,4445.38,4466.62,4279.06,4232.98,4330.74
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2595210,3036950,2277600,1984340,2348180,2572140,2333150,1874580,1781010,1752470,1845210,1612720
,B,1954350,2247160,2084140,1796440,1806740,2204290,2018980,2146880,1959380,1810060,1767990,1544450
,C,377472,571175,499812,451165,465596,567296,464775,467217,410363,392481,410184,400025
,D,1139610,1725960,1186000,1013180,1132780,1283790,999915,1095750,1080460,926859,915188,799217
,E,387347,572307,438967,458872,462243,553598,431675,371856,386280,436766,417351,436248
,F,367444,389531,393569,338421,331641,301538,286850,275802,228699,200845,201306,203386
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
