Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_3-47-22 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8009.86,9646.88,7684.91,6305.03,7000.43,7082.81,6650.75,6064.36,5831.6,6228.84,6480.88,5903.18
,B,6057.74,6146.26,5728.09,4799.08,4902.43,5158.96,4711.21,4838.79,4978.65,5080.19,4812.64,4739.52
,C,5896.03,6483.64,5604.85,4788.34,4882.86,5175.7,4903.99,4873.33,4613.2,4745.83,4753.4,4739.14
,D,5857.02,6565.12,5597.97,4663.23,4720.19,4999.16,4487.85,4552.47,4563.27,4514.45,4559.16,4411.36
,E,6301.69,6429.82,5406.24,4950.81,4798.83,5162.36,4593.42,4229.81,4343.4,4723.14,4519.38,4396.59
,F,6095.43,5994.93,5074.07,4548.79,4558.28,4507.6,4394.29,4487.56,4509.92,4317.82,4266.17,4372.32
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1964010,2350500,1796060,1590900,1860330,2241920,1931440,1662890,1582880,1656070,1598920,1425860
,B,1175330,1342270,1240870,1418300,1210040,1606900,1464800,1538150,1384710,1289400,1391700,1090560
,C,310788,510314,449419,481006,503119,560301,492722,483448,437881,418987,408247,412343
,D,865347,1264440,903950,932135,1044240,1154000,932696,999750,1024070,853565,856925,747484
,E,322276,500809,356961,453179,455513,539817,449843,395691,384046,469409,424484,425953
,F,273907,306188,288350,329714,320937,301477,278461,268637,243818,195422,200580,202261
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
