Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_8-15-19 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8528.5,10284.4,8235.23,6571.13,7249.48,7408.72,6864.14,6289.58,6053.04,6277.9,6621.02,6041.65
,B,6626.06,6615.93,6191.45,4925.95,5015.03,5245.52,4779.39,4906.43,5082.74,5186.74,4933.74,4847.58
,C,6473.8,6905.42,6046.07,4939.47,5003.9,5292.84,5014.78,4965,4761.27,4866.72,4862.81,4867.73
,D,6380.19,7066.06,5973.56,4830.72,4795.58,5019.08,4532.21,4580.48,4565.75,4596.51,4635.7,4454.05
,E,6747.39,6930.54,5781.5,5111.48,4906.88,5289.5,4731.96,4273.04,4566.32,4821.71,4681.42,4498.4
,F,6418.64,6260.73,5309.65,4635.8,4613.1,4531.8,4403.65,4497,4523.76,4338.07,4285.82,4373.31
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1427610,1850210,1368630,1318090,1496530,1632950,1625810,1382490,1240830,1416990,1391790,1204320
,B,777073,837866,788440,828493,693790,926359,805463,825596,833544,768587,777887,655532
,C,452809,589957,544165,548476,562933,621542,535547,542506,499455,450325,446394,447181
,D,779437,1084730,890114,824043,904761,964529,753628,860092,818050,720378,711488,633842
,E,412600,538509,384688,466442,462490,529462,440540,377770,381125,453899,431319,423559
,F,408588,406634,314026,337768,323963,303597,282066,269691,223511,194481,192044,194166
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
