Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_11-22-10 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5934.29,5814.7,5699.33,5592.59,5089.93,5604.4,5462.31,5469.39,5789.1,14720.1,14326.3,16093.8
,B,5195.89,5445.94,4636.38,4717.96,4695.77,4738.35,4991.9,4753.35,4856.91,12177.4,11809.9,11040.3
,C,5662.35,5118.26,4963.32,5130.97,4884.46,4837.48,5268.38,5112.5,5321.06,16864,23453.7,21146.1
,D,4866.5,4488.14,4646.92,4621.55,4443.5,4621.52,4650.09,4679.54,4869.57,11522.8,12037.3,13401.9
,E,4544.57,4506.33,4305.96,4472.51,4310.93,4232.75,4440.36,4504.93,4742.59,8684.44,9081.59,10774.7
,F,4263.29,4127.96,4164.17,4226.97,4213,4625.32,4387.52,4646.16,4396,5187.19,5223.45,5277.54
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2032070,1270880,2175790,2111390,1982460,2196530,2426930,2338750,2497840,4143380,3773420,3770000
,B,2081320,2049530,1883270,1783910,1891130,1954440,1917050,1862470,1857830,3764830,3421910,3102060
,C,552122,591037,630372,585360,593035,671739,668315,713570,601596,1898100,2445630,2223140
,D,838566,968768,1156430,1149760,1120670,1222520,1086260,1122300,1182920,2111390,2211780,2253370
,E,381557,426548,413091,446060,457342,407839,470615,434013,455784,1395740,1397810,1314300
,F,166890,177954,177587,168493,171810,186537,148144,123187,133708,319570,336497,320965
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
