Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_3-04-26 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5088.38,4794.95,5079.25,5182.36,4720.85,5205.89,5276.81,5361.6,5569.74,11246.9,11127,12123.2
,B,4677.42,4613.45,4248.45,4384.92,4392.6,4400.34,5128.2,4944.2,5084.18,11374,10973.8,10141.4
,C,4765.69,4730.82,4568.87,4723.42,4514.62,4423.6,4925.77,4755.93,4912.4,14886.8,19026.5,18094.1
,D,4170.8,4227.84,4377.22,4292.6,4189.83,4382.62,4720.76,4683.63,4808.79,10065.6,9859.52,10440.2
,E,4198.42,4186.75,4058.55,4212.43,4050.39,3988.92,4311.97,4400.01,4643.21,7886.51,7836.87,8241.51
,F,4119.14,3988.81,4007.85,4081.05,4060.13,4419.83,4396.22,4642.29,4377.58,5031.7,5128.77,5124.53
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3173760,1673780,3131780,3176220,2929120,3294000,2980970,2793140,2943980,5160250,4953530,4917720
,B,4515450,4385590,3537180,3703940,4566980,4072750,3740200,3424080,3387840,8617200,8198600,8137990
,C,606992,624768,649236,598485,625166,704099,389110,545166,461318,2729450,2773780,2927620
,D,952318,1184290,1491890,1510010,1425250,1469570,1091840,1219330,1259150,2951470,2833000,2911810
,E,428145,517724,507506,505625,578839,489970,331942,283972,332414,2063690,1972630,1836100
,F,127170,130853,131051,123960,124794,128427,30330.9,5906.78,38885,439362,400296,407984
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
