Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_4-05-04 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5163.41,4844.89,5155.41,5281.48,4801.85,5318.93,5360.76,5484.93,5682.06,12223,12054.1,13149.1
,B,4762.15,4676.81,4295.66,4445.3,4456.14,4472.4,5143.42,4955.13,5113.94,11882.4,11445.8,10584.4
,C,4824.57,4774.58,4608.98,4774.96,4571.2,4483.14,4972.46,4812.89,4992.91,15802.9,20576.1,19348.1
,D,4219.95,4273.41,4424.73,4337.92,4230.33,4436.89,4732.87,4711.24,4836.01,10663,10526.3,11194.5
,E,4252.05,4226.55,4097.63,4255.74,4075.72,4024.88,4340.35,4430.89,4680.03,8174.43,8087.98,8548.15
,F,4152.66,4022.94,4037.26,4109.44,4091.23,4445.98,4406.2,4698.29,4394.88,5065.05,5149.63,5147.44
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3061360,1633240,3024750,3215490,2723710,3189890,3044960,2851350,3147250,5159520,5029750,4968600
,B,4334100,4223180,3382090,3516410,3794140,3848520,3468720,3360550,3362790,8831930,7984580,7094660
,C,600168,621077,636863,585799,615057,691456,446786,589891,524406,2741760,2915640,2922410
,D,971229,1253040,1413260,1478780,1400620,1443310,1149360,1276590,1373950,3011370,2907800,2962710
,E,421177,504230,493855,497797,556080,482886,389677,352083,385751,2101550,2051600,1905940
,F,126782,133725,156579,127930,128671,130105,47493.8,13774.7,54621.7,448547,420154,430697
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
