Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_9-10-49 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5516.77,4253.08,5265.7,5438.06,5677.94,5255.11,5471.44,4749.68,5532.8,4544.92,5176.21,5411.63
,B,4365.72,4020.98,4406.35,4411.05,4686.52,4464.2,4357.73,4414.96,4232.37,4520.24,4521.18,4483.04
,C,4381.42,4106.99,4380.93,4413.11,4547.36,4282.04,4533.8,4347.11,4610.69,4692.11,4543.04,4467.5
,D,4305.63,4139.98,4398.8,4244.51,4665.17,4372.38,4669.63,4406.82,4745.52,4538.58,4601.96,5136.87
,E,4183.63,3888.98,4415.41,4544.76,4627.62,4391.56,4660.95,4214.22,4317.36,4345.87,4378.73,4417.23
,F,4335.59,4169.05,4198.48,4170.47,4159.78,4239.95,4312.41,4211.51,4730.09,4113.89,4046.98,4622.26
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2993430,1976880,2540690,2494260,2824490,2232610,1891390,1228280,1376130,726140,1017790,704374
,B,2987050,2246210,2691580,2424330,2907950,2467400,1602050,1661690,1489400,1052790,1100520,753623
,C,553528,381997,404525,345755,417038,382530,180309,170382,166480,81099.1,98817.5,86034.9
,D,1188110,1162480,1486830,1194810,1590550,1524850,1296940,1041390,1387410,605599,664380,864430
,E,579668,440644,483468,547481,604822,511054,305790,246865,264106,118067,118825,309440
,F,364041,377437,270360,220090,233730,229162,107451,122758,204330,78605.9,79603.9,205717
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
