Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_4-38-13 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7823.5,6273.78,7514.83,7395.81,7680.41,6945.81,7586.04,6120.23,7101.57,6178.7,6931.72,6894.97
,B,6365.74,5798.7,6356.56,6160.45,6370.25,6010.37,5883.82,5650.73,5690.8,5845.98,5966.49,5813.59
,C,6523.6,5822.91,6330.01,6228.7,6152.49,6104.11,5915.85,5672.12,6053.11,6065.51,6136.4,5967.09
,D,6318.98,6091.34,6334.29,6231.73,6366.21,5752.38,6181.62,5906.59,6103.76,5997.08,6002.88,6598.32
,E,6329.89,5979.95,6311.68,6564.7,6444.4,5723.43,6135.26,5773.62,6315.42,5644.03,5738.29,6206.16
,F,5902.98,5909.96,5682.17,5564.61,5526.53,5224.82,5182.1,5239.54,5829.2,5115.04,5138.62,5128.5
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1356300,972831,1290410,1449060,1460400,1258450,1144330,853624,977612,726474,789123,682769
,B,842307,696940,842099,699185,743896,771757,597757,472325,520906,366386,372472,319859
,C,481434,392512,507938,458726,432763,486272,260079,244806,249361,117309,146597,130511
,D,713576,707103,819308,723709,751933,669801,608631,502105,554959,306192,370463,456178
,E,492492,410070,468563,558994,572006,467800,317676,265924,298339,163801,174770,383371
,F,230083,379372,258769,232196,271099,190112,82361.5,95703.9,146477,64504.5,69064.4,184941
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
